Address,Cookie,Times
"('127.0.0.1', 41376)",7802651,1
"('127.0.0.1', 41382)",1006883,1
"('127.0.0.1', 41386)",9099487,1
"('127.0.0.1', 41394)",2286831,1
"('127.0.0.1', 41396)",4188912,1
"('127.0.0.1', 41406)",8577630,1
"('127.0.0.1', 41408)",8678532,1
"('127.0.0.1', 41414)",1137120,1
"('127.0.0.1', 41418)",2423540,1
"('127.0.0.1', 41422)",2170437,1
"('127.0.0.1', 41450)",7674777,1
"('127.0.0.1', 41454)",8378902,1
"('127.0.0.1', 41456)",5415316,1
"('127.0.0.1', 41458)",9150787,1
"('127.0.0.1', 41460)",4803525,1
"('127.0.0.1', 41462)",2864620,1
"('127.0.0.1', 41464)",6295745,1
"('127.0.0.1', 41474)",3836227,1
"('127.0.0.1', 41478)",2429294,1
"('127.0.0.1', 41480)",1115850,1
"('127.0.0.1', 41504)",7201244,1
"('127.0.0.1', 41514)",2796132,1
"('127.0.0.1', 41516)",7461163,1
"('127.0.0.1', 41522)",8483381,1
"('127.0.0.1', 41524)",5482116,1
"('127.0.0.1', 41534)",6565963,1
"('127.0.0.1', 41536)",5960796,1
"('127.0.0.1', 41542)",9402002,1
"('127.0.0.1', 41546)",7188638,1
"('127.0.0.1', 41550)",6882367,1
"('127.0.0.1', 41580)",8329544,1
"('127.0.0.1', 41584)",2274028,1
"('127.0.0.1', 41586)",2679451,1
"('127.0.0.1', 41588)",7135752,1
"('127.0.0.1', 41590)",8172857,1
"('127.0.0.1', 41592)",6036281,1
"('127.0.0.1', 41594)",8927503,1
"('127.0.0.1', 41602)",3326167,1
"('127.0.0.1', 41606)",4017176,1
"('127.0.0.1', 41610)",3994395,1
"('127.0.0.1', 41630)",5461716,1
"('127.0.0.1', 41636)",6363381,1
"('127.0.0.1', 41640)",2245000,1
"('127.0.0.1', 41648)",9526142,1
"('127.0.0.1', 41654)",1169985,1
"('127.0.0.1', 41666)",4704114,1
"('127.0.0.1', 41668)",5409678,1
"('127.0.0.1', 41676)",1426746,1
"('127.0.0.1', 41680)",5709141,1
"('127.0.0.1', 41684)",3762859,1
"('127.0.0.1', 41712)",2518839,1
"('127.0.0.1', 41716)",4019237,1
"('127.0.0.1', 41718)",8133977,1
"('127.0.0.1', 41720)",3211027,1
"('127.0.0.1', 41722)",9130528,1
"('127.0.0.1', 41724)",5356100,1
"('127.0.0.1', 41726)",7776223,1
"('127.0.0.1', 41736)",9067145,1
"('127.0.0.1', 41740)",4146493,1
"('127.0.0.1', 41742)",8450210,1
"('127.0.0.1', 41762)",3014464,1
"('127.0.0.1', 41768)",1871191,1
"('127.0.0.1', 41774)",2446284,1
"('127.0.0.1', 41780)",3680285,1
"('127.0.0.1', 41782)",5426825,1
"('127.0.0.1', 41792)",9122509,1
"('127.0.0.1', 41794)",9714403,1
"('127.0.0.1', 41800)",7442557,1
"('127.0.0.1', 41804)",1740039,1
"('127.0.0.1', 41808)",3199290,1
"('127.0.0.1', 41834)",8966136,1
"('127.0.0.1', 41838)",7080057,1
"('127.0.0.1', 41840)",8175247,1
"('127.0.0.1', 41842)",5377039,1
"('127.0.0.1', 41844)",5890875,1
"('127.0.0.1', 41846)",5198995,1
"('127.0.0.1', 41848)",5940303,1
"('127.0.0.1', 41856)",9054816,1
"('127.0.0.1', 41860)",8725372,1
"('127.0.0.1', 41862)",4240942,1
"('127.0.0.1', 41884)",8379038,1
"('127.0.0.1', 41890)",8163220,1
"('127.0.0.1', 41892)",2244103,1
"('127.0.0.1', 41902)",1200615,1
"('127.0.0.1', 35236)",6271666,1
"('127.0.0.1', 35246)",2747526,1
"('127.0.0.1', 35248)",5406101,1
"('127.0.0.1', 35254)",1184066,1
"('127.0.0.1', 35258)",4971388,1
"('127.0.0.1', 35262)",6973794,1
"('127.0.0.1', 35288)",3188930,1
"('127.0.0.1', 35292)",8029422,1
"('127.0.0.1', 35296)",7342231,1
"('127.0.0.1', 35298)",6811253,1
"('127.0.0.1', 35300)",3818928,1
"('127.0.0.1', 35302)",5970812,1
"('127.0.0.1', 35304)",3581297,1
"('127.0.0.1', 35312)",6367645,1
"('127.0.0.1', 35320)",9615090,1
"('127.0.0.1', 35322)",8287910,1
"('127.0.0.1', 35342)",3133364,1
"('127.0.0.1', 35352)",1884853,1
"('127.0.0.1', 35358)",9498873,1
